,year,region,licenses,geopoint,x,y,No. of Accidents,No. of Casualties - Dead,No. of Casualties - Injured
113,2004,Northern Boarder,1922,"30.197074783, 41.8171186952",30.197074783,41.8171186952,,,
114,2014,Jazan,15621,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
115,2011,Jazan,10946,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
116,1994,Jazan,3826,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
117,1999,Jazan,4792,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
118,2009,Jazan,9437,"17.2072313962, 42.6525807422",17.207231396199997,42.6525807422,,,
119,2016,Najran,2153,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,3235.0,173.0,706.0
120,2012,Najran,9201,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
121,2000,Najran,4905,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
122,2006,Najran,5897,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
123,2007,Najran,7226,"18.4511003068, 46.8688495726",18.4511003068,46.868849572600006,,,
124,2014,Al-Baha,7268,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
125,2012,Al-Baha,7593,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
126,1993,Al-Baha,3270,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
127,1995,Al-Baha,2423,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
128,1998,Al-Baha,5110,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
129,2002,Al-Baha,3335,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
130,2003,Al-Baha,3616,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
131,2005,Al-Baha,2698,"20.1484058503, 41.4665484892",20.1484058503,41.4665484892,,,
132,2014,Al-Jouf,9982,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
133,2012,Al-Jouf,10246,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
134,1994,Al-Jouf,2535,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
135,2004,Al-Jouf,4601,"29.9677445762, 39.5570371172",29.967744576199998,39.5570371172,,,
136,2012,Riyadh,23888,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
137,1993,Riyadh,103886,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
138,1995,Riyadh,101608,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
139,1994,Riyadh,110545,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
140,2014,Riyadh,194208,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
141,1996,Riyadh,110131,"23.0814341634, 45.5857512766",23.0814341634,45.5857512766,,,
142,2017,Makkah,142487,"21.628962766, 41.2636898334",21.628962766,41.2636898334,145541.0,1641.0,10623.0
